,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,465764.0,12.04
1,TRMB,TRIMBLE INC,896239100,2227362.0,7.07
2,KTOS,KRATOS DEFENSE & SECURITY,50077B207,7211753.0,6.41
3,U,UNITY SOFTWARE INC,91332U101,1287674.0,5.84
4,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,3558937.0,5.4
5,PATH,UIPATH INC - CLASS A,90364P105,2372192.0,5.28
6,GOOG,ALPHABET INC-CL C,02079K107,49086.0,4.86
7,LMT,LOCKHEED MARTIN CORP,539830109,263810.0,3.4
8,DDD,3D SYSTEMS CORP,88554D205,2513988.0,2.99
9,JD,JD.COM INC-ADR,47215P106,1166843.0,2.95
10,DE,DEERE & CO,244199105,207373.0,2.86
11,BIDU,BAIDU INC - SPON ADR,056752108,437546.0,2.5
12,KMTUY,KOMATSU LTD -SPONS ADR,500458401,2649260.0,2.42
13,TER,TERADYNE INC,880770102,567415.0,2.41
14,MGA,MAGNA INTERNATIONAL INC,559222401,746884.0,2.31
15,TSP,TUSIMPLE HOLDINGS INC - A,90089L108,1853047.0,2.15
16,NXPI,NXP SEMICONDUCTORS NV,N6596X109,274685.0,2.11
17,CAT,CATERPILLAR INC,149123101,230484.0,1.82
18,NIU,NIU TECHNOLOGIES-SPONS ADR,65481N100,2158783.0,1.74
19,AVAV,AEROVIRONMENT INC,008073108,455667.0,1.69
20,NNDM,NANO DIMENSION LTD - ADR,63008G203,7246494.0,1.64
21,MKFG,MARKFORGED HOLDING CORP,57064N102,4046016.0,1.42
22,TDY,TELEDYNE TECHNOLOGIES INC,879360105,85701.0,1.4
23,ISRG,INTUITIVE SURGICAL INC,46120E602,38704.0,1.39
24,SNPS,SYNOPSYS INC,871607107,124735.0,1.3
25,ESLT,ELBIT SYSTEMS LTD,M3760D101,249110.0,1.26
26,MTLS,MATERIALISE NV-ADR,57667T100,1482885.0,1.19
27,TWOU,2U INC,90214J101,870946.0,1.18
28,ANSS,ANSYS INC,03662Q105,88627.0,1.15
29,VUZI,VUZIX CORP,92921W300,2347387.0,1.12
30,BYDDY,BYD CO LTD-UNSPONSORED ADR,05606L100,412379.0,1.04
31,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,148025.0,1.02
32,NVDA,NVIDIA CORP,67066G104,140801.0,1.0
33,ACIC,ATLAS CREST INVESTMENT COR-A,049284102,2809703.0,1.0
34,BLDE,BLADE AIR MOBILITY INC,092667104,3815035.0,0.98
35,SPFR,JAWS SPITFIRE ACQUISITION-A,G50740102,2718591.0,0.97
36,SSYS,STRATASYS LTD,M85548101,1070252.0,0.91
37,PRLB,PROTO LABS INC,743713109,187580.0,0.55
38,XONE,EXONE CO/THE,302104104,555354.0,0.5
39,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,559054.0,0.5
40,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,4665913.99,0.17
41,ONVO ,ORGANOVO HOLDINGS INC,68620A203,142854.0,0.04
