,ticker,company,cusip,current shares,current weight(%)
0,SQ,SQUARE INC - A,852234103,1523801.0,11.21
1,SHOP,SHOPIFY INC - CLASS A,82509L107,158270.0,6.42
2,Z,ZILLOW GROUP INC - C,98954M200,1886572.0,5.07
3,SE,SEA LTD-ADR,81141R100,569063.0,4.92
4,COIN,COINBASE GLOBAL INC -CLASS A,19260Q107,665742.0,4.79
5,PYPL,PAYPAL HOLDINGS INC,70450Y103,607528.0,4.64
6,MELI,MERCADOLIBRE INC,58733R102,92296.0,4.61
7,ADYEN,ADYEN NV,BZ1HM42,49456.0,4.24
8,TWLO,TWILIO INC - A,90138F102,374415.0,3.57
9,PATH,UIPATH INC - CLASS A,90364P105,1640015.0,2.79
10,FB,FACEBOOK INC-CLASS A,30303M102,271465.0,2.73
11,OPEN,OPENDOOR TECHNOLOGIES INC,683712103,6245624.0,2.69
12,DOCU,DOCUSIGN INC,256163106,331892.0,2.65
13,PINS,PINTEREST INC- CLASS A,72352L106,1701703.0,2.56
14,4689,Z HOLDINGS CORP,6084848,14097506.0,2.34
15,TDOC,TELADOC HEALTH INC,87918A105,575221.0,2.26
16,INTU,INTUIT INC,461202103,136230.0,2.08
17,TCS LI,TCS GROUP HOLDING-GDR REG S,87238U203,789564.0,2.03
18,STNE,STONECO LTD-A,G85158106,1366708.0,1.91
19,LC,LENDINGCLUB CORP,52603A208,2353692.0,1.89
20,SI,SILVERGATE CAPITAL CORP-CL A,82837P408,657511.0,1.85
21,DKNG,DRAFTKINGS INC - CL A,26142R104,1231754.0,1.79
22,JD,JD.COM INC-ADR,47215P106,988660.0,1.76
23,ICE,INTERCONTINENTAL EXCHANGE IN,45866F104,529464.0,1.73
24,6060,ZHONGAN ONLINE P&C INSURAN-H,BYZQ099,13020363.0,1.56
25,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,1882601.0,1.26
26,WDAY,WORKDAY INC-CLASS A,98138H101,187957.0,1.24
27,BILL,BILL.COM HOLDINGS INC,090043100,209417.0,1.23
28,DSY,DISCOVERY LTD,6177878,4820813.0,1.11
29,ETSY,ETSY INC,29786A106,197861.0,1.1
30,SNAP,SNAP INC - A,83304A106,522797.0,1.06
31,AMZN,AMAZON.COM INC,023135106,11826.0,1.06
32,FTCH,FARFETCH LTD-CLASS A,30744W107,923622.0,1.0
33,3690,MEITUAN-CLASS B,BGJW376,1359119.0,0.94
34,9923,YEAHKA LTD,BL58D39,8082800.0,0.92
35,PDD,PINDUODUO INC-ADR,722304102,417063.0,0.9
36,TCEHY,TENCENT HOLDINGS LTD-UNS ADR,88032Q109,539191.0,0.85
37,HOOD,ROBINHOOD MARKETS INC - A,770700102,669057.0,0.8
38,KSPI,JSC KASPI.KZ GDR-REG S,BMXZ8G7,217383.0,0.66
39,HDB,HDFC BANK LTD-ADR,40415F101,244896.0,0.53
40,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,13439485.27,0.38
41,4477,BASE INC,BKRQ8Q2,22900.0,0.01
42,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,1951.0,0.01
43,GOOG,ALPHABET INC-CL C,02079K107,131.0,0.01
44,1833,PING AN HEALTHCARE AND TECHN,BDRYVB3,7600.0,0.0
45,,SOUTH AFRICAN RAND,ZAR,136.75,0.0
