,ticker,company,cusip,current shares,current weight(%)
0,TDOC,TELADOC HEALTH INC,87918A105,3881801.0,6.91
1,PACB,PACIFIC BIOSCIENCES OF CALIF,69404D108,13993759.0,4.97
2,EXAS,EXACT SCIENCES CORP,30063P105,4057281.0,4.8
3,VRTX,VERTEX PHARMACEUTICALS INC,92532F100,1759703.0,4.38
4,IONS,IONIS PHARMACEUTICALS INC,462222100,8759235.0,4.37
5,REGN,REGENERON PHARMACEUTICALS,75886F107,464342.0,3.91
6,FATE,FATE THERAPEUTICS INC,31189P102,4454198.0,3.79
7,CDNA,CAREDX INC,14167L103,3508067.0,3.27
8,TWST,TWIST BIOSCIENCE CORP,90184D100,2316344.0,2.96
9,TAK UN,TAKEDA PHARMACEUTIC-SP ADR,874060205,13887427.0,2.94
10,ACCD,ACCOLADE INC,00437E102,5382733.0,2.93
11,NTLA,INTELLIA THERAPEUTICS INC,45826J105,1541181.0,2.92
12,VEEV,VEEVA SYSTEMS INC-CLASS A,922475108,700010.0,2.85
13,INCY,INCYTE CORP,45337C102,2956259.0,2.81
14,CRSP,CRISPR THERAPEUTICS AG,H17182108,1803725.0,2.68
15,BEAM,BEAM THERAPEUTICS INC,07373V105,1772417.0,2.29
16,SGFY,SIGNIFY HEALTH INC -CLASS A,82671G100,7107676.0,2.27
17,NVS,NOVARTIS AG-SPONSORED ADR,66987V109,1706026.0,2.02
18,PATH,UIPATH INC - CLASS A,90364P105,2498040.0,1.93
19,CSTL,CASTLE BIOSCIENCES INC,14843C105,2176495.0,1.83
20,CDXS,CODEXIS INC,192005106,6228133.0,1.81
21,SDGR,SCHRODINGER INC,80810D103,2596270.0,1.8
22,ADPT,ADAPTIVE BIOTECHNOLOGIES,00650F109,4559236.0,1.77
23,IOVA,IOVANCE BIOTHERAPEUTICS INC,462260100,6070487.0,1.63
24,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,03969T109,2619602.0,1.59
25,NVTA,INVITAE CORP,46185L103,4735053.0,1.54
26,BLI,BERKELEY LIGHTS INC,084310101,3448980.0,1.52
27,RHHBY,ROCHE HOLDINGS LTD-SPONS ADR,771195104,2178981.0,1.39
28,TXG,10X GENOMICS INC-CLASS A,88025U109,648868.0,1.28
29,RPTX,REPARE THERAPEUTICS INC,760273102,2773082.0,1.18
30,SRNG,SOARING EAGLE ACQU - CL A,G8354H126,9176710.0,1.16
31,MASS,908 DEVICES INC,65443P102,2698533.0,1.12
32,SMFR,SEMA4 HOLDINGS CORP,81663L101,10214550.0,1.11
33,VERV,VERVE THERAPEUTICS INC,92539P101,1303853.0,1.05
34,BMY,BRISTOL-MYERS SQUIBB CO,110122108,1191187.0,1.05
35,EDIT,EDITAS MEDICINE INC,28106W103,1303734.0,1.0
36,PSNL,PERSONALIS INC,71535D106,4486656.0,0.99
37,VCYT,VERACYTE INC,92337F107,1953529.0,0.97
38,BFLY,BUTTERFLY NETWORK INC,124155102,7399032.0,0.96
39,QSI,QUANTUM-SI INC,74765K105,9058120.0,0.96
40,ONEM,1LIFE HEALTHCARE INC,68269G107,3038210.0,0.87
41,RXRX,RECURSION PHARMACEUTICALS-A,75629V104,2669020.0,0.67
42,CLLS,CELLECTIS - ADR,15117K103,4145336.0,0.66
43,NSTG,NANOSTRING TECHNOLOGIES INC,63009R109,891572.0,0.6
44,ZY,ZYMERGEN INC,98985X100,3890250.0,0.54
45,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,1676560.0,0.51
46,CRBU,CARIBOU BIOSCIENCES INC,142038108,1440881.0,0.48
47,CERS,CERUS CORP,157085101,5428117.0,0.41
48,,CM LIFE SCIENCES II INC,125842203,2664435.0,0.35
49,AQB,AQUABOUNTY TECHNOLOGIES,03842K200,6411124.0,0.35
50,SURF,SURFACE ONCOLOGY INC,86877M209,4377586.0,0.31
51,CGEN,COMPUGEN LTD,M25722105,3808429.0,0.3
52,DYNS,DYNAMICS SPECIAL PURPOSE C-A,268010105,2060884.0,0.25
53,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,16129676.61,0.2
54,SEER,SEER INC,81578P106,376142.0,0.15
55,SRPT,SAREPTA THERAPEUTICS INC,803607100,158151.0,0.15
56,MCRB,SERES THERAPEUTICS INC,81750R102,1796698.0,0.14
57,PFE,PFIZER INC,717081103,157188.0,0.1
58,EVGN,EVOGENE LTD,M4119S104,3050803.0,0.1
59,DRNA,DICERNA PHARMACEUTICALS INC,253031108,306134.0,0.08
60,PSTG,PURE STORAGE INC - CLASS A,74624M102,257067.0,0.06
61,ONVO ,ORGANOVO HOLDINGS INC,68620A203,251468.0,0.02
62,PSTI,PLURISTEM THERAPEUTICS INC,72940R300,252353.0,0.01
