,ticker,company,cusip,current shares,current weight(%)
0,FVRR,FIVERR INTERNATIONAL LTD,M4R82T106,17875.0,1.57
1,CRNT,CERAGON NETWORKS LTD,M22013102,1090119.0,1.53
2,KRNT,KORNIT DIGITAL LTD,M6372Q113,32491.0,1.51
3,GILT,GILAT SATELLITE NETWORKS LTD,M51474118,407160.0,1.5
4,INMD,INMODE LTD,M5425M103,36594.0,1.46
5,TEVA,TEVA PHARMACEUTICAL-SP ADR,881624209,428057.0,1.45
6,NICE,NICE LTD - SPON ADR,653656108,14736.0,1.45
7,SILC,SILICOM LTD,M84116108,91836.0,1.45
8,PYPD,POLYPID LTD,M8001Q118,499502.0,1.44
9,RADA,RADA ELECTRONIC INDS LTD,M81863124,313235.0,1.44
10,MTRX,MATRIX IT LTD,6747754,148310.0,1.44
11,CAMT,CAMTEK LTD,M20791105,109748.0,1.44
12,PPBT,PURPLE BIOTECH LTD-ADR,74638P109,737182.0,1.43
13,SEDG,SOLAREDGE TECHNOLOGIES INC,83417M104,15549.0,1.42
14,URGN UQ,UROGEN PHARMA LTD,M96088105,258704.0,1.41
15,BSEN,BET SHEMESH ENGINES HOLDINGS,6103936,197115.0,1.41
16,MLTM,MALAM - TEAM LTD,6875923,120173.0,1.41
17,EMCO,E & M COMPUTING,6302216,640592.0,1.41
18,BATM,BATM ADVANCED COMMUNICATIONS,B85PTW0,3246850.0,1.4
19,PERI,PERION NETWORK LTD,M78673114,208534.0,1.4
20,CGNT,COGNYTE SOFTWARE LTD,M25133105,152667.0,1.4
21,MNDY,MONDAY.COM LTD,M7S64H106,17944.0,1.4
22,PLSN,PLASSON INDUSTRIES LTD,6094728,73484.0,1.4
23,RDWR,RADWARE LTD,M81873107,122722.0,1.39
24,NYAX,NAYAX LTD,BMXT7N9,1295887.0,1.39
25,CYBR,CYBERARK SOFTWARE LTD/ISRAEL,M2682V108,27759.0,1.39
26,SMWB,SIMILARWEB LTD,M84137104,164980.0,1.39
27,TSEM,TOWER SEMICONDUCTOR LTD,M87915274,141521.0,1.39
28,ARD,ARAD LTD,B0G7VP6,297836.0,1.39
29,BEZQ,BEZEQ THE ISRAELI TELECOM CO,6098032,3692271.0,1.39
30,MGIC,MAGIC SOFTWARE ENTERPRISES,6328074,223665.0,1.38
31,DANE,DANEL (ADIR YEOSHUA) LTD,6253433,18371.0,1.38
32,WIX,WIX.COM LTD,M98068105,13109.0,1.38
33,NVMI,NOVA LTD,M7516K103,39953.0,1.38
34,ALLT,ALLOT LTD,M0854Q105,206364.0,1.37
35,ITRN,ITURAN LOCATION AND CONTROL,M6158M104,153168.0,1.37
36,ESLT,ELBIT SYSTEMS LTD,6308913,29394.0,1.37
37,CHKP,CHECK POINT SOFTWARE TECH,M22465104,30403.0,1.36
38,TARO,TARO PHARMACEUTICAL INDUS,M8737E108,54212.0,1.36
39,AUDC,AUDIOCODES LTD,M15342104,117648.0,1.36
40,ONE,ONE SOFTWARE TECHNOLOGIES LT,6987709,252313.0,1.36
