,ticker,company,cusip,current shares,current weight(%)
0,FVRR,FIVERR INTERNATIONAL LTD,M4R82T106,17875.0,1.62
1,KRNT,KORNIT DIGITAL LTD,M6372Q113,32491.0,1.52
2,GILT,GILAT SATELLITE NETWORKS LTD,M51474118,407160.0,1.5
3,INMD,INMODE LTD,M5425M103,36594.0,1.5
4,NICE,NICE LTD - SPON ADR,653656108,14736.0,1.46
5,SILC,SILICOM LTD,M84116108,91836.0,1.46
6,TEVA,TEVA PHARMACEUTICAL-SP ADR,881624209,428057.0,1.46
7,PPBT,PURPLE BIOTECH LTD-ADR,74638P109,737182.0,1.45
8,RADA,RADA ELECTRONIC INDS LTD,M81863124,313235.0,1.45
9,MTRX,MATRIX IT LTD,6747754,148310.0,1.44
10,CRNT,CERAGON NETWORKS LTD,M22013102,1090119.0,1.44
11,CAMT,CAMTEK LTD,M20791105,109748.0,1.44
12,SEDG,SOLAREDGE TECHNOLOGIES INC,83417M104,15549.0,1.43
13,PERI,PERION NETWORK LTD,M78673114,208534.0,1.42
14,URGN UQ,UROGEN PHARMA LTD,M96088105,258704.0,1.41
15,MLTM,MALAM - TEAM LTD,6875923,120173.0,1.41
16,CGNT,COGNYTE SOFTWARE LTD,M25133105,152667.0,1.41
17,BSEN,BET SHEMESH ENGINES HOLDINGS,6103936,197115.0,1.41
18,EMCO,E & M COMPUTING,6302216,640592.0,1.41
19,CYBR,CYBERARK SOFTWARE LTD/ISRAEL,M2682V108,27759.0,1.4
20,BATM,BATM ADVANCED COMMUNICATIONS,B85PTW0,3246850.0,1.4
21,WIX,WIX.COM LTD,M98068105,13109.0,1.4
22,PLSN,PLASSON INDUSTRIES LTD,6094728,73484.0,1.4
23,ARD,ARAD LTD,B0G7VP6,297836.0,1.39
24,NYAX,NAYAX LTD,BMXT7N9,1295887.0,1.39
25,MNDY,MONDAY.COM LTD,M7S64H106,17944.0,1.39
26,RDWR,RADWARE LTD,M81873107,122722.0,1.39
27,SMWB,SIMILARWEB LTD,M84137104,164980.0,1.39
28,BEZQ,BEZEQ THE ISRAELI TELECOM CO,6098032,3692271.0,1.39
29,TSEM,TOWER SEMICONDUCTOR LTD,M87915274,141521.0,1.38
30,MGIC,MAGIC SOFTWARE ENTERPRISES,6328074,223665.0,1.38
31,FROG,JFROG LTD,M6191J100,85891.0,1.38
32,DANE,DANEL (ADIR YEOSHUA) LTD,6253433,18371.0,1.38
33,ESLT,ELBIT SYSTEMS LTD,6308913,29394.0,1.37
34,ALLT,ALLOT LTD,M0854Q105,206364.0,1.36
35,NVMI,NOVA MEASURING INSTRUMENTS,M7516K103,39953.0,1.36
36,AUDC,AUDIOCODES LTD,M15342104,117648.0,1.36
37,ONE,ONE SOFTWARE TECHNOLOGIES LT,6987709,252313.0,1.36
38,PTNR,PARTNER COMMUNICATIONS CO,6374420,891236.0,1.35
39,CHKP,CHECK POINT SOFTWARE TECH,M22465104,30403.0,1.35
40,ITRN,ITURAN LOCATION AND CONTROL,M6158M104,153168.0,1.34
41,TARO,TARO PHARMACEUTICAL INDUS,M8737E108,54212.0,1.34
42,KMDA,KAMADA LTD,B0L2CR5,686122.0,1.33
43,ECP,ELECTRA CONSUMER PRODUCTS 19,B536CY7,71916.0,1.33
44,CEL,CELLCOM ISRAEL LTD,B23WQK8,1001993.0,1.33
45,NNOX,NANO-X IMAGING LTD,M70700105,130970.0,1.33
46,PRTC,PRIORTECH LTD,6677776,145838.0,1.32
47,HLAN,HILAN LTD,6267230,72721.0,1.32
48,PLTK,PLAYTIKA HOLDING CORP,72815L107,164764.0,1.31
49,ENLV,ENLIVEX THERAPEUTICS LTD,M4130Y106,485071.0,1.31
50,BLRX ,BIOLINERX LTD-SPONS ADR,09071M205,1137910.0,1.31
51,NNDM,NANO DIMENSION LTD - ADR,63008G203,573849.0,1.3
52,TUFN,TUFIN SOFTWARE TECHNOLOGIES,M8893U102,364785.0,1.3
53,SPNS,SAPIENS INTERNATIONAL CORP,G7T16G103,148557.0,1.3
54,CHEK,CHECK CAP LTD,M2361E203,3232331.0,1.27
55,WKME,WALKME LTD,M97628107,125378.0,1.27
56,PYPD,POLYPID LTD,M8001Q118,499502.0,1.27
57,ICCM,ICECURE MEDICAL LTD,B67PC92,2654959.0,1.26
58,CLGN UQ,COLLPLANT BIOTECHNOLOGIES LT,M2R51X116,202679.0,1.26
59,GMDA,GAMIDA CELL LTD,M47364100,660833.0,1.23
60,ABRA,ABRA INFORMATION TECHNOLOGIE,B2NB586,2681356.0,1.23
61,AUGN,AUGWIND ENERGY TECH STORAGE,B290CJ7,194091.0,1.22
62,FTAL,FATTAL HOLDINGS 1998 LTD,BG1YKN5,39455.0,1.22
63,EVGN,EVOGENE LTD,B289530,1168333.0,1.2
64,AQUA,AQUARIUS ENGINES AM LTD,BN7JJ92,275214.0,1.17
65,MDWD,MEDIWOUND LTD,M68830104,810453.0,1.16
66,PSTI,PLURISTEM THERAPEUTICS INC,72940R300,980500.0,1.15
67,CMMB,CHEMOMAB THERAPEUTICS LTD,16385C104,191274.0,1.13
68,VBLT,VASCULAR BIOGENICS LTD,M96883109,1476500.0,1.11
69,INVZ UR,INNOVIZ TECHNOLOGIES LTD,M5R635108,373830.0,1.09
70,PNRG,PHINERGY LTD,BMZ52P2,857161.0,1.03
71,SSYS,STRATASYS LTD,M85548101,136900.0,0.97
72,ENTX,ENTERA BIO LTD,M40527109,531569.0,0.95
73,CGEN,COMPUGEN LTD,M25722105,377339.0,0.91
74,INCR,INTERCURE LTD,B23SD94,304800.15,0.71
75,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,1892648.27,0.67
76,ROBO,ROBOGROUP T.E.K LTD,6302722,1198258.0,0.39
77,RDHL,REDHILL BIOPHARMA LTD-SP ADR,757468103,20266.0,0.05
