,ticker,company,cusip,current shares,current weight(%)
0,TDOC,TELADOC HEALTH INC,87918A105,3921109.0,6.77
1,FATE,FATE THERAPEUTICS INC,31189P102,4393196.0,5.0
2,EXAS,EXACT SCIENCES CORP,30063P105,4098361.0,4.75
3,PACB,PACIFIC BIOSCIENCES OF CALIF,69404D108,14135467.0,4.73
4,VRTX,VERTEX PHARMACEUTICALS INC,92532F100,1777523.0,4.33
5,IONS,IONIS PHARMACEUTICALS INC,462222100,8847935.0,4.21
6,REGN,REGENERON PHARMACEUTICALS,75886F107,469042.0,3.73
7,CDNA,CAREDX INC,14167L103,3618220.0,3.21
8,NTLA,INTELLIA THERAPEUTICS INC,45826J105,1556781.0,2.97
9,ACCD,ACCOLADE INC,00437E102,5437241.0,2.9
10,TAK UN,TAKEDA PHARMACEUTIC-SP ADR,874060205,14028055.0,2.9
11,TWST,TWIST BIOSCIENCE CORP,90184D100,2342172.0,2.87
12,VEEV,VEEVA SYSTEMS INC-CLASS A,922475108,707090.0,2.8
13,INCY,INCYTE CORP,45337C102,2986199.0,2.78
14,CRSP,CRISPR THERAPEUTICS AG,H17182108,1821985.0,2.72
15,SGFY,SIGNIFY HEALTH INC -CLASS A,82671G100,7179656.0,2.28
16,BEAM,BEAM THERAPEUTICS INC,07373V105,1755146.0,2.23
17,NVS,NOVARTIS AG-SPONSORED ADR,66987V109,1723306.0,2.01
18,PATH,UIPATH INC - CLASS A,90364P105,2523340.0,1.91
19,CDXS,CODEXIS INC,192005106,6291201.0,1.83
20,SDGR,SCHRODINGER INC,80810D103,2622570.0,1.8
21,ADPT,ADAPTIVE BIOTECHNOLOGIES,00650F109,4605404.0,1.77
22,CSTL,CASTLE BIOSCIENCES INC,14843C105,2198535.0,1.69
23,RHHBY,ROCHE HOLDINGS LTD-SPONS ADR,771195104,2571441.0,1.62
24,IOVA,IOVANCE BIOTHERAPEUTICS INC,462260100,6131967.0,1.61
25,BLI,BERKELEY LIGHTS INC,084310101,3483900.0,1.58
26,ARCT UQ,ARCTURUS THERAPEUTICS HOLDIN,03969T109,2648818.0,1.57
27,NVTA,INVITAE CORP,46185L103,4783013.0,1.51
28,TXG,10X GENOMICS INC-CLASS A,88025U109,655448.0,1.29
29,SMFR,SEMA4 HOLDINGS CORP,81663L101,9934884.0,1.19
30,RPTX,REPARE THERAPEUTICS INC,760273102,2779491.0,1.17
31,SRNG,SOARING EAGLE ACQU - CL A,G8354H126,8831150.0,1.1
32,MASS,908 DEVICES INC,65443P102,2719136.0,1.05
33,BMY,BRISTOL-MYERS SQUIBB CO,110122108,1203247.0,1.02
34,VERV,VERVE THERAPEUTICS INC,92539P101,1317053.0,1.02
35,EDIT,EDITAS MEDICINE INC,28106W103,1316934.0,0.99
36,PSNL,PERSONALIS INC,71535D106,4536684.0,0.98
37,QSI,QUANTUM-SI INC,74765K105,8981774.0,0.97
38,BFLY,BUTTERFLY NETWORK INC,124155102,7473960.0,0.96
39,VCYT,VERACYTE INC,92337F107,1973309.0,0.91
40,ONEM,1LIFE HEALTHCARE INC,68269G107,3068978.0,0.89
41,CLLS,CELLECTIS - ADR,15117K103,4187316.0,0.66
42,RXRX,RECURSION PHARMACEUTICALS-A,75629V104,2696048.0,0.64
43,NSTG,NANOSTRING TECHNOLOGIES INC,63009R109,900600.0,0.57
44,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,1693540.0,0.54
45,CRBU,CARIBOU BIOSCIENCES INC,142038108,1455481.0,0.49
46,ZY,ZYMERGEN INC,98985X100,3816580.0,0.47
47,CERS,CERUS CORP,157085101,5488639.0,0.4
48,,CM LIFE SCIENCES II INC,125842203,2691415.0,0.39
49,AQB,AQUABOUNTY TECHNOLOGIES,03842K200,6476044.0,0.35
50,SURF,SURFACE ONCOLOGY INC,86877M209,4335228.0,0.31
51,CGEN,COMPUGEN LTD,M25722105,3850899.0,0.29
52,DYNS,DYNAMICS SPECIAL PURPOSE C-A,268010105,2078630.0,0.25
53,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,17511540.75,0.22
54,SRPT,SAREPTA THERAPEUTICS INC,803607100,177267.0,0.17
55,MCRB,SERES THERAPEUTICS INC,81750R102,1816740.0,0.14
56,SEER,SEER INC,81578P106,379962.0,0.14
57,EVGN,EVOGENE LTD,M4119S104,3084827.0,0.1
58,PFE,PFIZER INC,717081103,158788.0,0.1
59,DRNA,DICERNA PHARMACEUTICALS INC,253031108,309234.0,0.08
60,PSTG,PURE STORAGE INC - CLASS A,74624M102,259667.0,0.06
61,ONVO ,ORGANOVO HOLDINGS INC,68620A203,254016.0,0.02
62,PSTI,PLURISTEM THERAPEUTICS INC,72940R300,266786.0,0.01
