,ticker,company,cusip,current shares,current weight(%)
0,MNDY,MONDAY.COM LTD,M7S64H106,17608.0,2.34
1,ENLV,ENLIVEX THERAPEUTICS LTD,M4130Y106,475969.0,1.87
2,CYBR,CYBERARK SOFTWARE LTD/ISRAEL,M2682V108,27241.0,1.58
3,BEZQ,BEZEQ THE ISRAELI TELECOM CO,6098032,3622960.0,1.57
4,ESLT,ELBIT SYSTEMS LTD,6308913,28848.0,1.56
5,ARD,ARAD LTD,B0G7VP6,292250.0,1.56
6,MGIC,MAGIC SOFTWARE ENTERPRISES,6328074,219472.0,1.54
7,PLSN,PLASSON INDUSTRIES LTD,6094728,72105.0,1.52
8,CRNT,CERAGON NETWORKS LTD,M22013102,1069658.0,1.52
9,SPNS,SAPIENS INTERNATIONAL CORP,G7T16G103,145771.0,1.51
10,SEDG,SOLAREDGE TECHNOLOGIES INC,83417M104,15262.0,1.51
11,KRNT,KORNIT DIGITAL LTD,M6372Q113,31882.0,1.51
12,CGNT,COGNYTE SOFTWARE LTD,M25133105,149804.0,1.5
13,NYAX,NAYAX LTD,BMXT7N9,1271562.0,1.49
14,BSEN,BET SHEMESH ENGINES HOLDINGS,6103936,193419.0,1.49
15,INMD,INMODE LTD,M5425M103,35908.0,1.48
16,TEVA,TEVA PHARMACEUTICAL-SP ADR,881624209,420026.0,1.48
17,ECP,ELECTRA CONSUMER PRODUCTS 19,B536CY7,70572.0,1.47
18,PLTK,PLAYTIKA HOLDING CORP,72815L107,161677.0,1.47
19,RDWR,RADWARE LTD,M81873107,120419.0,1.46
20,PYPD,POLYPID LTD,M8001Q118,490129.0,1.46
21,PTNR,PARTNER COMMUNICATIONS CO,6374420,874506.0,1.45
22,NICE,NICE LTD - SPON ADR,653656108,14463.0,1.45
23,MTRX,MATRIX IT LTD,6747754,145531.0,1.44
24,GILT,GILAT SATELLITE NETWORKS LTD,M51474118,399521.0,1.43
25,SILC,SILICOM LTD,M84116108,90114.0,1.43
26,CAMT,CAMTEK LTD,M20791105,107690.0,1.43
27,DANE,DANEL (ADIR YEOSHUA) LTD,6253433,18028.0,1.42
28,TUFN,TUFIN SOFTWARE TECHNOLOGIES,M8893U102,357939.0,1.42
29,EMCO,E & M COMPUTING,6302216,628571.0,1.41
30,HLAN,HILAN LTD,6267230,71356.0,1.4
