,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,461630.0,12.05
1,TRMB,TRIMBLE INC,896239100,2207589.0,7.43
2,KTOS,KRATOS DEFENSE & SECURITY,50077B207,7147738.0,5.92
3,U,UNITY SOFTWARE INC,91332U101,1276244.0,5.7
4,PATH,UIPATH INC - CLASS A,90364P105,2351134.0,5.4
5,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,3527346.0,5.26
6,GOOG,ALPHABET INC-CL C,02079K107,48654.0,5.04
7,LMT,LOCKHEED MARTIN CORP,539830109,261466.0,3.53
8,DE,DEERE & CO,244199105,205531.0,2.89
9,JD,JD.COM INC-ADR,47215P106,1156483.0,2.87
10,DDD,3D SYSTEMS CORP,88554D205,2491671.0,2.66
11,KMTUY,KOMATSU LTD -SPONS ADR,500458401,2746215.0,2.57
12,TER,TERADYNE INC,880770102,562375.0,2.43
13,TSP,TUSIMPLE HOLDINGS INC - A,90089L108,1927368.0,2.35
14,MGA,MAGNA INTERNATIONAL INC,559222401,740254.0,2.31
15,NIU,NIU TECHNOLOGIES-SPONS ADR,65481N100,2139619.0,2.12
16,NXPI,NXP SEMICONDUCTORS NV,N6596X109,260121.0,2.01
17,AVAV,AEROVIRONMENT INC,008073108,539150.0,2.0
18,CAT,CATERPILLAR INC,149123101,228438.0,1.82
19,BIDU,BAIDU INC - SPON ADR,056752108,331927.0,1.8
20,MKFG,MARKFORGED HOLDING CORP,57064N102,5049417.0,1.69
21,NNDM,NANO DIMENSION LTD - ADR,63008G203,7182164.0,1.54
22,ISRG,INTUITIVE SURGICAL INC,46120E602,38360.0,1.51
23,TDY,TELEDYNE TECHNOLOGIES INC,879360105,84939.0,1.45
24,SNPS,SYNOPSYS INC,871607107,123625.0,1.36
25,ESLT,ELBIT SYSTEMS LTD,M3760D101,246896.0,1.33
26,TWOU,2U INC,90214J101,863212.0,1.17
27,MTLS,MATERIALISE NV-ADR,57667T100,1469720.0,1.13
28,BLDE,BLADE AIR MOBILITY INC,092667104,3906278.0,1.13
29,VUZI,VUZIX CORP,92921W300,2422306.0,1.09
30,ACIC,ATLAS CREST INVESTMENT COR-A,049284102,2784761.0,1.05
31,ANSS,ANSYS INC,03662Q105,76981.0,1.03
32,SPFR,JAWS SPITFIRE ACQUISITION-A,G50740102,2716359.0,1.02
33,NVDA,NVIDIA CORP,67066G104,139547.0,1.01
34,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,146710.0,0.96
35,BYDDY,BYD CO LTD-UNSPONSORED ADR,05606L100,363429.0,0.91
36,SSYS,STRATASYS LTD,M85548101,1060748.0,0.81
37,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,554088.0,0.53
38,PRLB,PROTO LABS INC,743713109,185912.0,0.49
39,XONE,EXONE CO/THE,302104104,386009.0,0.33
40,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,6749915.77,0.26
41,ONVO ,ORGANOVO HOLDINGS INC,68620A203,141582.0,0.04
