,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,3256252.0,10.56
1,TDOC,TELADOC HEALTH INC,87918A105,8555254.0,5.59
2,ROKU,ROKU INC,77543R102,3269279.0,5.4
3,COIN,COINBASE GLOBAL INC -CLASS A,19260Q107,4135958.0,4.94
4,U,UNITY SOFTWARE INC,91332U101,8267285.0,4.63
5,ZM,ZOOM VIDEO COMMUNICATIONS-A,98980L101,2812587.0,4.5
6,SQ,SQUARE INC - A,852234103,3422772.0,4.24
7,SHOP,SHOPIFY INC - CLASS A,82509L107,588569.0,4.15
8,TWLO,TWILIO INC - A,90138F102,2214468.0,3.64
9,SPOT,SPOTIFY TECHNOLOGY SA,L8681T102,3381543.0,3.34
10,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,25991816.0,3.02
11,NTLA,INTELLIA THERAPEUTICS INC,45826J105,4240828.0,2.94
12,Z,ZILLOW GROUP INC - C,98954M200,6542338.0,2.87
13,EXAS,EXACT SCIENCES CORP,30063P105,6521561.0,2.83
14,CRSP,CRISPR THERAPEUTICS AG,H17182108,4882423.0,2.75
15,PATH,UIPATH INC - CLASS A,90364P105,8423698.0,2.45
16,DKNG,DRAFTKINGS INC - CL A,26142R104,9276690.0,2.3
17,BEAM,BEAM THERAPEUTICS INC,07373V105,4839908.0,2.28
18,TWTR,TWITTER INC,90184L102,7521605.0,2.25
19,FATE,FATE THERAPEUTICS INC,31189P102,4801035.0,1.98
20,DOCU,DOCUSIGN INC,256163106,1338092.0,1.85
21,TXG,10X GENOMICS INC-CLASS A,88025U109,2172905.0,1.61
22,SE,SEA LTD-ADR,81141R100,988791.0,1.53
23,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,8070774.0,1.51
24,NVTA,INVITAE CORP,46185L103,12105933.0,1.42
25,TSP,TUSIMPLE HOLDINGS INC - A,90089L108,7280893.0,1.21
26,EDIT,EDITAS MEDICINE INC,28106W103,4251152.0,1.19
27,PACB,PACIFIC BIOSCIENCES OF CALIF,69404D108,8367843.0,1.04
28,PD,PAGERDUTY INC,69553P100,5594855.0,1.04
29,HOOD,ROBINHOOD MARKETS INC - A,770700102,4768028.0,1.03
30,TER,TERADYNE INC,880770102,1757791.0,0.97
31,TWOU,2U INC,90214J101,4923492.0,0.84
32,TWST,TWIST BIOSCIENCE CORP,90184D100,1758139.0,0.82
33,IOVA,IOVANCE BIOTHERAPEUTICS INC,462260100,7524028.0,0.74
34,BLI,BERKELEY LIGHTS INC,084310101,4276542.0,0.72
35,NTDOY,NINTENDO CO LTD-UNSPONS ADR,654445303,2497571.0,0.71
36,TRMB,TRIMBLE INC,896239100,1633561.0,0.7
37,SKLZ,SKILLZ INC,83067L109,13337628.0,0.65
38,VCYT,VERACYTE INC,92337F107,3390837.0,0.61
39,PRLB,PROTO LABS INC,743713109,1819949.0,0.61
40,NSTG,NANOSTRING TECHNOLOGIES INC,63009R109,1655304.0,0.41
41,SRNG,SOARING EAGLE ACQU - CL A,G8354H126,7822790.0,0.38
42,SSYS,STRATASYS LTD,M85548101,3957374.0,0.37
43,MTLS,MATERIALISE NV-ADR,57667T100,3525089.0,0.34
44,CERS,CERUS CORP,157085101,11650995.0,0.32
45,SGFY,SIGNIFY HEALTH INC -CLASS A,82671G100,2670162.0,0.32
46,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,40200682.78,0.19
47,CGEN,COMPUGEN LTD,M25722105,6129687.0,0.17
48,MCRB,SERES THERAPEUTICS INC,81750R102,2385744.0,0.07
