,ticker,company,cusip,current shares,current weight(%)
0,TSLA,TESLA INC,88160R101,458874.0,11.93
1,TRMB,TRIMBLE INC,896239100,2194409.0,7.53
2,KTOS,KRATOS DEFENSE & SECURITY,50077B207,7105062.0,5.87
3,U,UNITY SOFTWARE INC,91332U101,1268624.0,5.7
4,PATH,UIPATH INC - CLASS A,90364P105,2337094.0,5.45
5,IRDM,IRIDIUM COMMUNICATIONS INC,46269C102,3506286.0,5.26
6,GOOG,ALPHABET INC-CL C,02079K107,48366.0,5.11
7,LMT,LOCKHEED MARTIN CORP,539830109,259902.0,3.55
8,DE,DEERE & CO,244199105,204303.0,2.83
9,JD,JD.COM INC-ADR,47215P106,1149575.0,2.76
10,DDD,3D SYSTEMS CORP,88554D205,2476795.0,2.6
11,KMTUY,KOMATSU LTD -SPONS ADR,500458401,2751245.0,2.59
12,TSP,TUSIMPLE HOLDINGS INC - A,90089L108,1915860.0,2.55
13,TER,TERADYNE INC,880770102,559015.0,2.46
14,MGA,MAGNA INTERNATIONAL INC,559222401,735834.0,2.2
15,NIU,NIU TECHNOLOGIES-SPONS ADR,65481N100,2126843.0,2.06
16,AVAV,AEROVIRONMENT INC,008073108,546352.0,2.04
17,NXPI,NXP SEMICONDUCTORS NV,N6596X109,258565.0,2.03
18,CAT,CATERPILLAR INC,149123101,227074.0,1.79
19,BIDU,BAIDU INC - SPON ADR,056752108,329943.0,1.75
20,MKFG,MARKFORGED HOLDING CORP,57064N102,5096678.0,1.67
21,ISRG,INTUITIVE SURGICAL INC,46120E602,38132.0,1.55
22,NNDM,NANO DIMENSION LTD - ADR,63008G203,7139284.0,1.5
23,SNPS,SYNOPSYS INC,871607107,122885.0,1.5
24,TDY,TELEDYNE TECHNOLOGIES INC,879360105,84431.0,1.45
25,ESLT,ELBIT SYSTEMS LTD,M3760D101,245420.0,1.36
26,TWOU,2U INC,90214J101,858056.0,1.17
27,BLDE,BLADE AIR MOBILITY INC,092667104,3882954.0,1.16
28,MTLS,MATERIALISE NV-ADR,57667T100,1460944.0,1.11
29,ACIC,ATLAS CREST INVESTMENT COR-A,049284102,2768133.0,1.06
30,NVDA,NVIDIA CORP,67066G104,138711.0,1.06
31,VUZI,VUZIX CORP,92921W300,2407842.0,1.06
32,ANSS,ANSYS INC,03662Q105,76521.0,1.06
33,SPFR,JAWS SPITFIRE ACQUISITION-A,G50740102,2710577.0,1.04
34,BYDDY,BYD CO LTD-UNSPONSORED ADR,05606L100,361257.0,0.92
35,BABA,ALIBABA GROUP HOLDING-SP ADR,01609W102,145830.0,0.9
36,SSYS,STRATASYS LTD,M85548101,1054412.0,0.8
37,PLTR,PALANTIR TECHNOLOGIES INC-A,69608A108,550780.0,0.51
38,PRLB,PROTO LABS INC,743713109,184800.0,0.5
39,XONE,EXONE CO/THE,302104104,323904.0,0.29
40,,DREYFUS GOVT CASH MAN INS,X9USDDGCM,5850447.31,0.23
41,ONVO ,ORGANOVO HOLDINGS INC,68620A203,140734.0,0.03
