,ticker,company,cusip,current shares,current weight(%)
0,DDD,3D SYSTEMS CORP,88554D205,876495.0,4.66
1,STMN,STRAUMANN HOLDING AG-REG,7156832,11155.0,4.04
2,XONE,EXONE CO/THE,302104104,1137667.0,3.9
3,DSY FP,DASSAULT SYSTEMES SE,BM8H5Y5,366889.0,3.88
4,HPQ,HP INC,40434L105,684494.0,3.88
5,DM,DESKTOP METAL INC-A,25058X105,2059890.0,3.84
6,MSFT,MICROSOFT CORP,594918104,67345.0,3.83
7,ANSS,ANSYS INC,03662Q105,54065.0,3.81
8,ALTR,ALTAIR ENGINEERING INC - A,021369103,280117.0,3.8
9,RSW,RENISHAW PLC,0732358,282710.0,3.79
10,NNDM,NANO DIMENSION LTD - ADR,63008G203,2875604.0,3.78
11,ADSK,AUTODESK INC,052769106,64094.0,3.78
12,CLNKB,CELLINK AB - B,BKMFJ94,347314.0,3.77
13,PTC,PTC INC,69370C100,133594.0,3.75
14,TRMB,TRIMBLE INC,896239100,231065.0,3.73
15,PRLB,PROTO LABS INC,743713109,216873.0,3.69
16,AM3D,SLM SOLUTIONS GROUP AG,BMHTHK2,948233.0,3.58
17,ALMDG,MGI DIGITAL GRAPHIC TECHNOLO,B18FJV7,358277.0,3.24
18,CFMS,CONFORMIS INC,20717E101,12474760.0,3.0
19,MTLS,MATERIALISE NV-ADR,57667T100,657556.0,2.72
20,SSYS,STRATASYS LTD,M85548101,650517.0,2.66
21,XMTR,XOMETRY INC-A,98423F109,144212.0,2.1
22,AME,AMETEK INC,031100100,47127.0,1.29
23,HEXAB S,HEXAGON AB-B SHS,BNZFHC1,411476.0,1.27
24,AJRD,AEROJET ROCKETDYNE HOLDINGS,007800105,127203.0,1.26
25,FARO,FARO TECHNOLOGIES INC,311642102,83601.0,1.23
26,UPS,UNITED PARCEL SERVICE-CL B,911312106,28148.0,1.22
27,ALGN,ALIGN TECHNOLOGY INC,016255101,10003.0,1.22
28,LECO,LINCOLN ELECTRIC HOLDINGS,533900106,44235.0,1.19
29,ML,MICHELIN (CGDE),4588364,36853.0,1.18
30,OERL,OC OERLIKON CORP AG-REG,4612757,528076.0,1.17
31,MOG/A,MOOG INC-CLASS A,615394202,74294.0,1.16
32,GE,GENERAL ELECTRIC CO,369604103,469376.0,1.16
33,ARNC,ARCONIC CORP,03966V107,177333.0,1.15
34,KALU,KAISER ALUMINUM CORP,483007704,51034.0,1.15
35,SIE,SIEMENS AG-REG,5727973,37711.0,1.15
36,XTC,EXCO TECHNOLOGIES LTD,2325392,588000.0,0.99
37,BDT,BERTRANDT AG,5130861,34756.0,0.4
38,DSM,KONINKLIJKE DSM NV,B0HZL93,2929.0,0.12
39,SAND,SANDVIK AB,B1VQ252,20842.0,0.11
40,CRS,CARPENTER TECHNOLOGY,144285103,14618.0,0.11
41,AKE,ARKEMA,B0Z5YZ2,4423.0,0.11
42,DD,DUPONT DE NEMOURS INC,26614N102,7027.0,0.11
43,XRX UN,XEROX HOLDINGS CORP,98421M106,23691.0,0.11
44,HEN3,HENKEL AG & CO KGAA VORZUG,5076705,5426.0,0.11
45,SGL,SGL CARBON SE,4818351,50731.0,0.11
46,3402,TORAY INDUSTRIES INC,6897143,86899.0,0.11
47,KODK,EASTMAN KODAK CO,277461406,75302.0,0.11
48,EVK,EVONIK INDUSTRIES AG,B5ZQ9D3,16340.0,0.11
49,VOE,VOESTALPINE AG,4943402,13290.0,0.11
50,MMM,3M CO,88579Y101,2757.0,0.11
51,EMN,EASTMAN CHEMICAL CO,277432100,4932.0,0.11
52,ATI,ALLEGHENY TECHNOLOGIES INC,01741R102,26714.0,0.1
53,HXL,HEXCEL CORP,428291108,9602.0,0.1
54,VNP,5N PLUS INC,B2B3VZ3,251937.0,0.1
55,PYR,PYROGENESIS CANADA INC,B43JTF9,122815.0,0.09
56,,JAPANESE YEN,JPY,12519979.0,0.02
57,,GREAT BRITISH POUND,GBP,0.24,0.0
